,category,w_China,wo_China,diff
0,Animal & Animal Products,534085114722.464,501340023672.03876,6.131062287223851
1,Chemicals & Allied Industries,1508835052143.8086,1260627203657.4382,16.450297077451076
2,Foodstuffs,1052901235061.0975,957461589152.2406,9.064444292661388
3,Footwear / Headgear,86397565643.71457,31734224068.422497,63.269539098719775
4,Machinery / Electrical,7318974671151.528,6004644181478.328,17.957849954772563
5,Metals,1694566166638.4802,999413950552.261,41.02242979778101
6,Mineral Products,3236329628411.152,2701255274304.648,16.533370068647613
7,Miscellaneous,811214837399.2516,564994541429.89,30.35204542840241
8,Plastics / Rubbers,899763720051.7239,682841512311.5807,24.108796888106713
9,"Raw Hides, Skins, Leather, & Furs",80704794369.78514,51265088983.49856,36.47826082226961
10,Stone / Glass,291773472965.3592,136840839683.91672,53.100315017272614
11,Textiles,408059199567.4497,233596905363.84036,42.75416272652169
12,Transportation,2146499573166.686,1974745877983.5352,8.001571364384958
13,Vegetable Products,889224579815.2021,803710449055.7981,9.61670793863745
14,Wood & Wood Products,436471400626.62305,344342980644.42676,21.107550196858607
15,total,21395801011734.45,17248814642341.37,19.382244053955635
